fecha,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
1740,254,17.9,0.0,11.4,40,24.4,33,15.0,2.2,8.9,100,9.4,988.2,16,982.4,19,16,11,1075.0,1226.0
1545,254,19.4,0.0,11.1,63,27.6,24,15.0,2.8,8.6,117,8.2,983.6,16,978.3,18,5,14,741.0,537.0
1589,254,20.6,1.2,13.8,50,27.3,53,14.0,6.1,16.1,95,8.0,982.4,7,975.6,19,3,4,696.0,604.0
49,254,18.0,0.0,11.9,70,24.1,55,28.0,4.7,12.2,77,11.2,990.2,7,981.6,3,3,4,258.0,38.0
552,254,18.6,0.0,12.4,38,24.9,67,33.0,4.7,12.8,100,12.3,991.6,14,987.6,18,17,18,286.0,401.0
525,254,19.4,0.0,11.9,47,26.9,22,30.0,4.4,13.3,126,11.9,989.2,20,983.8,13,9,21,249.0,387.0
1666,254,19.6,0.0,12.4,63,26.8,71,14.0,2.8,11.7,95,9.1,984.3,16,973.0,19,15,2,418.0,739.0
1656,254,19.8,6.0,13.7,70,26.0,12,21.0,3.9,13.6,108,4.7,976.5,16,969.0,19,7,12,558.0,707.0
560,254,19.8,0.4,15.0,27,24.7,22,26.0,3.6,17.5,63,6.2,974.2,3,966.0,0,4,11,235.0,404.0
435,254,19.8,0.0,14.6,63,25.0,56,24.0,3.9,15.8,95,3.6,982.1,14,973.7,9,5,8,218.0,349.0
394,254,20.3,0.8,15.2,23,25.4,21,28.0,3.1,11.7,21,7.5,989.7,7,982.0,10,0,24,285.0,333.0
491,254,21.0,0.0,14.1,68,28.0,33,32.0,1.9,6.9,6,10.3,995.6,7,989.6,15,5,1,602.0,374.0
1744,254,22.1,0.0,13.5,51,30.7,56,3.0,1.1,6.1,138,11.2,997.8,11,993.3,19,13,9,824.0,1278.0
1754,254,24.4,0.0,15.6,63,33.3,66,14.0,1.9,7.2,86,11.1,995.9,9,990.5,15,8,20,2474.0,1568.0
1713,254,23.2,0.0,15.7,40,30.6,56,14.0,3.3,11.1,111,8.0,991.8,16,983.6,18,18,17,794.0,914.0
59,254,15.0,14.8,10.5,25,19.4,6,33.0,6.1,15.6,6,2.9,989.5,7,981.9,8,3,21,577.0,41.0
460,254,15.0,0.0,9.2,38,20.9,68,32.0,3.9,9.7,70,12.5,992.8,7,989.2,9,17,18,251.0,361.0
551,254,17.4,0.0,9.6,38,25.1,16,30.0,1.9,6.9,51,12.4,994.5,14,990.8,18,4,1,286.0,401.0
1724,254,20.0,0.0,12.4,70,27.6,59,14.0,2.2,8.6,51,4.6,992.3,20,984.6,22,5,19,995.0,1018.0
1566,254,23.4,0.0,15.8,32,31.1,56,30.0,2.2,12.5,101,12.5,988.6,7,983.7,18,22,4,508.0,561.0
1651,254,23.6,0.0,15.2,63,31.9,68,31.0,2.5,9.7,44,12.6,991.1,14,987.5,18,7,0,878.0,701.0
82,254,25.4,0.0,17.2,38,33.6,32,99.0,2.5,6.9,71,12.7,991.1,9,985.5,19,4,12,362.0,69.0
1756,254,25.8,0.0,16.3,38,35.4,69,99.0,1.7,6.7,71,12.7,986.6,16,980.5,19,17,18,671.0,1803.0
290,254,27.0,0.2,18.6,17,35.3,53,14.0,4.2,13.9,43,9.8,985.6,7,979.9,19,18,9,931.0,287.0
274,254,25.3,0.0,17.8,70,32.8,53,15.0,5.3,15.3,96,10.7,987.1,4,983.1,19,13,17,47.0,278.0
253,254,24.6,0.0,17.4,70,31.9,56,12.0,5.3,14.7,22,9.5,988.8,11,983.5,18,15,4,493.0,268.0
284,254,22.8,0.0,18.0,41,27.6,19,32.0,4.7,11.1,53,5.1,986.0,3,982.9,18,12,15,672.0,285.0
354,254,23.4,1.0,16.4,38,30.3,71,18.0,1.9,7.8,142,11.5,988.3,7,984.4,13,15,12,407.0,313.0
437,254,23.6,0.0,16.6,38,30.5,54,24.0,2.2,7.8,61,9.9,990.1,11,985.7,18,6,7,445.0,349.0
473,254,24.3,0.0,16.3,38,32.3,53,22.0,2.2,13.3,67,9.9,990.0,9,985.5,12,1,18,764.0,367.0
406,254,25.6,15.0,18.7,38,32.6,56,29.0,1.9,19.7,21,6.6,988.5,4,983.9,12,13,15,507.0,338.0
396,254,20.9,8.6,15.3,25,26.5,23,33.0,2.5,21.4,90,5.0,989.5,6,984.8,5,9,2,204.0,334.0
308,254,14.0,9.4,12.5,64,15.6,71,33.0,1.4,12.8,117,0.2,989.8,2,986.2,12,12,1,201.0,292.0
332,254,19.7,0.0,13.0,38,26.4,16,32.0,4.2,17.2,47,12.9,987.4,11,982.1,6,2,6,217.0,304.0
379,254,19.2,0.0,14.3,25,24.1,24,31.0,5.3,14.7,90,12.2,991.1,7,981.5,3,8,23,22.0,323.0
392,254,21.8,0.0,13.1,34,30.4,64,29.0,3.1,12.5,10,13.2,992.9,11,987.4,19,2,7,272.0,332.0
452,254,24.8,1.4,16.9,48,32.7,68,35.0,4.2,15.0,78,9.4,988.3,11,980.1,21,10,0,244.0,358.0
517,254,25.6,0.0,18.0,51,33.1,61,11.0,2.2,8.1,120,12.8,986.4,7,983.0,18,5,6,281.0,383.0
444,254,26.8,0.0,18.3,34,35.3,69,12.0,1.9,7.8,90,13.1,988.8,15,984.5,18,2,22,28.0,354.0
533,254,29.8,0.0,21.2,38,38.4,65,30.0,1.4,14.2,93,13.1,988.0,11,983.2,19,2,6,318.0,392.0
523,254,27.9,0.0,19.3,38,36.5,54,32.0,3.9,13.3,59,13.3,989.1,9,982.5,6,6,1,4.0,387.0
489,254,28.9,0.0,20.1,70,37.7,69,14.0,3.1,10.0,3,12.8,984.6,2,980.3,18,17,21,304.0,373.0
446,254,30.8,0.0,21.8,64,39.7,71,15.0,1.9,10.3,61,12.8,984.8,14,980.0,18,0,14,408.0,354.0
476,254,28.5,0.0,21.4,25,35.6,40,29.0,3.9,15.3,122,8.7,991.4,4,983.6,10,7,12,284.0,368.0
376,254,27.6,0.0,19.4,38,35.7,57,31.0,4.4,12.8,19,13.3,991.9,14,987.5,19,17,5,237.0,321.0
401,254,28.8,0.0,20.4,68,37.3,65,30.0,3.1,11.1,28,13.3,989.8,10,983.1,15,4,1,266.0,335.0
